Id,Label,Popularity,Followers
3WrFJ7ztbogyGnTHbHJFl2,Beatles,88,18275455
4x1nvY2FN8jxqAFA0DA02H,John Lennon,80,3864984
7FIoB5PHdrMZVC3q2HE5MS,George Harrison,71,1712610
6DbJi8AcN5ANdtvJcwBSw8,Ringo Starr,55,600535
4STHEaNw4mPZ2tzheohgXB,Paul McCartney,81,3309938
3RTzAwFprBqiskp550eSJX,Harry Nilsson,62,281767
1SQRv42e4PjEYfPhS0Tk9E,The Kinks,70,1738224
0Lpr5wXzWLtDWm1SjNbpPb,Todd Rundgren,57,207947
2s4tjL6W3qrblOe0raIzwJ,Yoko Ono,76,80322
74ASZWbe4lXaubB36ztrGX,Bob Dylan,77,4747803
1PCZpxHJz7WAMF8EEq8bfc,The Byrds,61,662432
67ea9eGLXYMsO2eYQRui3w,The Who,72,3728019
6vLlQYujOujIrm7zAKzEdG,Donovan,60,474547
0oSGxfWSnnOXhD2fKuz2Gy,David Bowie,81,6338260
22bE4uQ6baNwSHPVcDxLCe,The Rolling Stones,82,9595798
70cRZdQywnSFp9pnc2WTCE,Simon & Garfunkel,75,3155291
7jefIIksOi1EazgRTfW2Pk,Electric Light Orchestra,74,2534109
6waa8mKu91GjzD4NlONlNJ,The Hollies,64,750340
08F3Y3SctIlsOEmKd6dnH8,Yusuf / Cat Stevens,73,1208433
3oDbviiivRWhXwIE8hxkVV,The Beach Boys,78,2933738
4m2kfAHEnK7Z7qLGxeWtro,The Plastic Ono Band,42,27571
2hO4YtXUFJiUYS2uYFvHNK,Traveling Wilburys,61,674200
3sFhA6G1N0gG1pszb6kk1m,Wings,67,607606
4pJCawaKSZ40EnxN0YEYw3,Badfinger,57,228139
3bTAaMx9nf237AkBnGw3vL,Jeff Lynne,47,137798
3v4feUQnU3VEUqFrjmtekL,Faces,61,266534
2jgPkn6LuUazBoBk6vvjh5,The Zombies,61,610208
7CCn4PFRRRZF127jtCBAUe,The Lovin' Spoonful,58,307067
1CYsQCypByMVgnv17qsSbQ,Crosby  Stills  Nash & Young,64,1064072
24Wa5wIZIo1sPkzVGP0B5p,Pete Townshend,50,228139
320EPCSEezHt1rtbfwH6Ck,The Monkees,66,745414
2lxX1ivRYp26soIavdG9bX,The Yardbirds,52,639721
2rc78XDH9zuJP6bm78lU8Z,Derek & The Dominos,62,434821
4vpDg7Y7fU982Ds30zawDA,The Band,68,722616
4Fgf6RvuWpiwDXSE7Vammx,George Martin,38,63776
5QNeV0eXW8W8SVXeALkOpB,The Fireman,26,10521
0vn7UBvSQECKJm2817Yf1P,James Taylor,72,1513527
6zFYqv1mOsgBRQbae3JJ9e,Billy Joel,78,3153675
3PhoLpVuITZKcymswpck5b,Elton John,85,6372427
1bs7HoMkSyQwcobCpE9KpN,The Mamas & The Papas,69,1020899
2kuNswDC82PL9xRbfaZJaS,The Association,51,145581
48YxSlb23RAaCd4RyHcV9V,Herman's Hermits,56,300471
01hRNr3yF5bYnPq4wZ88iI,Tommy James & The Shondells,56,190477
